Código;Departamento;Código;Municipio;Población total;Maya;Garífuna;Xinka;Afrodescendiente / Creole / Afromestizo;Ladina(o);Extranjera(o);
7;Sololá;701;Sololá;   88 612;   83 767;    50;    5;    57;   4 705;    28;
7;Sololá;702;San José Chacayá;   4 068;   3 925;    4;-;    2;    136;    1;
7;Sololá;703;Santa María Visitación;   2 370;   2 322;    4;-;    1;    40;    3;
7;Sololá;704;Santa Lucía Utatlán;   21 284;   20 623;    6;    4;    76;    568;    7;
7;Sololá;705;Nahualá;   75 430;   75 274;    48;-;    22;    82;    4;
7;Sololá;706;Santa Catarina Ixtahuacán;   56 981;   56 838;    25;    2;    2;    113;    1;
7;Sololá;707;Santa Clara La Laguna;   9 405;   9 289;    6;-;    6;    101;    3;
7;Sololá;708;Concepción;   6 601;   6 578;    4;    1;    6;    12;-;
7;Sololá;709;San Andrés Semetabaj;   13 142;   12 129;    22;    2;    73;    899;    17;
7;Sololá;710;Panajachel;   15 077;   11 498;    20;    13;    6;   3 345;    195;
7;Sololá;711;Santa Catarina Palopó;   3 924;   3 913;    1;-;-;    3;    7;
7;Sololá;712;San Antonio Palopó;   14 437;   13 690;-;    1;-;    735;    11;
7;Sololá;713;San Lucas Tolimán;   29 772;   27 703;    17;    2;    36;   2 002;    12;
7;Sololá;714;Santa Cruz La Laguna;   5 820;   5 781;    9;    1;    1;    7;    21;
7;Sololá;715;San Pablo La Laguna;   7 299;   7 276;    12;-;    1;    4;    6;
7;Sololá;716;San Marcos La Laguna;   2 617;   2 548;    1;-;-;    35;    33;
7;Sololá;717;San Juan La Laguna;   12 162;   11 978;    16;-;    45;    115;    8;
7;Sololá;718;San Pedro La Laguna;   10 705;   10 372;    49;    3;    1;    218;    62;
7;Sololá;719;Santiago Atitlán;   41 877;   40 791;    93;    1;    31;    905;    56;
8;Totonicapán;801;Totonicapán;   103 952;   100 799;    64;    15;    199;   2 825;    50;
8;Totonicapán;802;San Cristóbal Totonicapán;   36 119;   33 606;    24;    3;    71;   2 394;    21;
8;Totonicapán;803;San Francisco el Alto;   57 894;   57 182;    34;    17;    10;    637;    14;
8;Totonicapán;804;San Andrés Xecul;   26 984;   26 633;    24;    1;    37;    280;    9;
8;Totonicapán;805;Momostenango;   105 617;   104 415;    66;    7;    38;   1 057;    34;
8;Totonicapán;806;Santa María Chiquimula;   55 013;   54 829;    46;    5;    17;    108;    8;
8;Totonicapán;807;Santa Lucía La Reforma;   22 378;   22 297;    12;    1;    5;    63;-;
8;Totonicapán;808;San Bartolo Aguas Calientes;   10 612;   10 434;    4;-;    4;    164;    6;
12;San Marcos;1201;San Marcos;   47 063;   1 671;    69;    11;    25;   45 207;    80;
12;San Marcos;1202;San Pedro Sacatepéquez;   79 158;   11 387;    58;    4;    29;   67 562;    118;
12;San Marcos;1203;San Antonio Sacatepéquez;   19 100;   7 866;    21;    4;    9;   11 175;    25;
12;San Marcos;1204;Comitancillo;   59 489;   59 062;    44;    4;    21;    354;    4;
12;San Marcos;1205;San Miguel Ixtahuacán;   47 301;   46 437;    23;    1;    54;    779;    7;
12;San Marcos;1206;Concepción Tutuapa;   68 148;   66 318;    39;    2;    12;   1 755;    22;
12;San Marcos;1207;Tacaná;   75 788;   7 099;    89;    6;    44;   68 455;    95;
12;San Marcos;1208;Sibinal;   15 733;   1 212;    7;-;    11;   14 493;    10;
12;San Marcos;1209;Tajumulco;   50 907;   48 843;    28;    4;    26;   2 005;    1;
12;San Marcos;1210;Tejutla;   38 669;   4 327;    36;-;    30;   34 255;    21;
12;San Marcos;1211;San Rafael Pie de la Cuesta;   17 139;    309;    14;    9;    1;   16 782;    24;
12;San Marcos;1212;Nuevo Progreso;   30 067;    530;    33;    1;    7;   29 477;    19;
12;San Marcos;1213;El Tumbador;   44 395;   1 392;    27;    2;    15;   42 936;    23;
12;San Marcos;1214;San José el Rodeo;   17 881;    146;    9;    1;    2;   17 717;    6;
12;San Marcos;1215;Malacatán;   92 816;   4 210;    44;    8;    52;   88 432;    70;
12;San Marcos;1216;Catarina;   30 014;    990;    18;    1;    18;   28 943;    44;
12;San Marcos;1217;Ayutla;   37 049;    656;    22;    3;    10;   36 191;    167;
12;San Marcos;1218;Ocós;   10 841;    75;    7;    1;    2;   10 742;    14;
12;San Marcos;1219;San Pablo;   48 937;   3 058;    27;    4;    35;   45 736;    77;
12;San Marcos;1220;El Quetzal;   23 511;    85;    15;-;    5;   23 398;    8;
12;San Marcos;1221;La Reforma;   17 918;    65;    15;-;    1;   17 826;    11;
12;San Marcos;1222;Pajapita;   21 725;    134;    12;-;    11;   21 528;    40;
12;San Marcos;1223;Ixchiguán;   22 375;   20 170;    13;    1;    12;   2 141;    38;
12;San Marcos;1224;San José Ojetenam;   19 009;   1 612;    18;-;    6;   17 353;    20;
12;San Marcos;1225;San Cristóbal Cucho;   16 619;   1 707;    6;-;    1;   14 880;    25;
12;San Marcos;1226;Sipacapa;   20 178;   18 498;    8;    6;    8;   1 648;    10;
12;San Marcos;1227;Esquipulas Palo Gordo;   12 892;    447;    20;    2;    29;   12 380;    14;
12;San Marcos;1228;Río Blanco;   5 318;   1 951;    5;-;-;   3 355;    7;
12;San Marcos;1229;San Lorenzo;   13 125;   7 675;    11;-;    15;   5 420;    4;
12;San Marcos;1230;La Blanca;   29 112;    161;    19;    1;    4;   28 887;    40;
13;Huehuetenango;1301;Huehuetenango;   117 818;   8 742;    119;    16;    56;   108 575;    310;
13;Huehuetenango;1302;Chiantla;   87 447;   8 223;    92;    2;    156;   78 923;    51;
13;Huehuetenango;1303;Malacatancito;   19 155;   5 752;    17;    1;    11;   13 362;    12;
13;Huehuetenango;1304;Cuilco;   60 395;   11 890;    58;    3;    34;   48 372;    38;
13;Huehuetenango;1305;Nentón;   45 679;   35 612;    25;    2;    7;   9 998;    35;
13;Huehuetenango;1306;San Pedro Necta;   38 510;   31 512;    24;    1;    31;   6 939;    3;
13;Huehuetenango;1307;Jacaltenango;   37 171;   36 325;    17;    1;    33;    752;    43;
13;Huehuetenango;1308;San Pedro Soloma;   49 030;   46 985;    40;    1;    93;   1 874;    37;
13;Huehuetenango;1309;San Ildefonso Ixtahuacán;   44 424;   41 626;    37;-;    10;   2 746;    5;
13;Huehuetenango;1310;Santa Bárbara;   33 608;   33 257;    24;    6;    3;    317;    1;
13;Huehuetenango;1311;La Libertad;   38 234;   5 897;    24;-;    357;   31 929;    27;
13;Huehuetenango;1312;La Democracia;   55 434;   25 415;    32;    1;    40;   29 903;    43;
13;Huehuetenango;1313;San Miguel Acatán;   27 128;   27 042;    19;-;    1;    56;    10;
13;Huehuetenango;1314;San Rafael La Independencia;   14 149;   14 092;    14;-;    8;    28;    7;
13;Huehuetenango;1315;Todos Santos Cuchumatán;   30 186;   26 554;    26;    3;    6;   3 593;    4;
13;Huehuetenango;1316;San Juan Atitán;   19 418;   19 348;    15;-;    3;    52;-;
13;Huehuetenango;1317;Santa Eulalia;   39 025;   38 887;    25;-;    15;    98;-;
