,CODIGO,DEPARTAMENTO,POBLACION_TOTAL,PDP_MAYA,PDP_GARIFUNA,PDP_XINCA,PDP_AFRODESCENDIENTE/CREOLE/AFROMESTIZO,PDP_LADINA(O),PDP_EXTRANJERA(O)
0,,Total nacional,14901286,6207503,19529,264167,27647,8346120,36320
1,1.0,Guatemala,3015081,402376,4583,3382,6222,2578135,20383
2,2.0,El Progreso,176632,2627,184,46,86,173441,248
3,3.0,Sacatepequez,330469,132762,428,206,486,195101,1486
4,4.0,Chimaltenango,615776,481335,563,237,1255,131674,712
5,5.0,Escuintla,733181,37100,933,259,1466,691936,1487
6,6.0,Santa Rosa,396607,7863,646,55855,885,330149,1209
7,7.0,Solola,421583,406295,387,35,366,14025,475
8,8.0,Totonicapan,418569,410195,274,49,381,7528,142
9,9.0,Quetzaltenango,799101,406491,675,206,1197,388850,1682
10,10.0,Suchitepequez,554695,211103,639,210,3531,338471,741
11,11.0,Retalhuleu,326828,48871,258,58,684,276576,381
12,12.0,San Marcos,1032277,318093,757,76,495,711812,1044
13,13.0,Huehuetenango,1170669,760871,884,44,1305,406836,729
14,14.0,Quiche,949261,846500,556,59,1690,100150,306
15,15.0,Baja Verapaz,299476,179746,244,63,542,118660,221
16,16.0,Alta Verapaz,1215038,1129369,1136,147,1288,82505,593
17,17.0,Peten,545600,164814,462,200,1097,378129,898
18,18.0,Izabal,408688,115296,3002,105,1529,287869,887
19,19.0,Zacapa,245374,4769,349,46,791,238987,432
20,20.0,Chiquimula,415063,111368,797,49,771,301454,624
21,21.0,Jalapa,342923,24891,832,108529,690,207497,484
22,22.0,Jutiapa,488395,4768,940,94306,890,386335,1156
